date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:49:14	2778/2778	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Oct%202019%2006:03:46%20GMT	http://websmirno.site/childit/img/fruits.png	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/fruits.png	(from http://websmirno.site/childit/index.html)
20:49:15	3248/3248	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Oct%202019%2006:04:56%20GMT	http://websmirno.site/childit/img/vegetables.png	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/vegetables.png	(from http://websmirno.site/childit/index.html)
20:49:15	1361/1361	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Oct%202019%2006:04:07%20GMT	http://websmirno.site/childit/img/grains.png	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/grains.png	(from http://websmirno.site/childit/index.html)
20:49:18	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:35:01%20GMT	http://websmirno.site/childit/img/img/teacher1.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/img/teacher1.34.delayed	(from http://websmirno.site/childit/index.html)
20:49:18	44838/44838	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:03:34%20GMT	http://websmirno.site/childit/img/children-food.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/children-food.jpg	(from http://websmirno.site/childit/index.html)
20:49:21	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:35:01%20GMT	http://websmirno.site/childit/img/img/teacher2.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/img/teacher2.jpg	(from http://websmirno.site/childit/index.html)
20:49:22	37921/37921	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:04:46%20GMT	http://websmirno.site/childit/img/teacher2.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/teacher2.jpg	(from http://websmirno.site/childit/index.html)
20:49:22	58442/58442	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:04:45%20GMT	http://websmirno.site/childit/img/teacher1.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/teacher1.jpg	(from http://websmirno.site/childit/index.html)
20:49:23	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:35:01%20GMT	http://websmirno.site/childit/img/img/teacher3.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/img/teacher3.jpg	(from http://websmirno.site/childit/index.html)
20:49:24	41332/41332	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:04:47%20GMT	http://websmirno.site/childit/img/teacher3.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/teacher3.jpg	(from http://websmirno.site/childit/index.html)
20:49:27	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:35:01%20GMT	http://websmirno.site/childit/img/img/teacher4.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/img/teacher4.3a.delayed	(from http://websmirno.site/childit/index.html)
20:49:28	2299/2299	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Oct%202019%2006:04:58%20GMT	http://websmirno.site/childit/img/wave-pink.svg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/wave-pink.svg	(from http://websmirno.site/childit/index.html)
20:49:32	106143/106143	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:04:48%20GMT	http://websmirno.site/childit/img/teacher4.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/teacher4.jpg	(from http://websmirno.site/childit/index.html)
20:49:34	34724/34724	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:03:47%20GMT	http://websmirno.site/childit/img/gallery-1-1.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gallery-1-1.jpg	(from http://websmirno.site/childit/index.html)
20:49:36	62165/62165	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:03:48%20GMT	http://websmirno.site/childit/img/gallery-1-x2.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gallery-1-x2.jpg	(from http://websmirno.site/childit/index.html)
20:49:39	37113/37113	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:03:58%20GMT	http://websmirno.site/childit/img/gallery-2.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gallery-2.jpg	(from http://websmirno.site/childit/index.html)
20:49:41	70194/70194	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:03:57%20GMT	http://websmirno.site/childit/img/gallery-2-x2.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gallery-2-x2.jpg	(from http://websmirno.site/childit/index.html)
20:49:43	31316/31316	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:03:59%20GMT	http://websmirno.site/childit/img/gallery-3.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gallery-3.jpg	(from http://websmirno.site/childit/index.html)
20:49:50	117654/117654	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:03:59%20GMT	http://websmirno.site/childit/img/gallery-3-x2.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gallery-3-x2.jpg	(from http://websmirno.site/childit/index.html)
20:49:50	48469/48469	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:04:00%20GMT	http://websmirno.site/childit/img/gallery-4.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gallery-4.jpg	(from http://websmirno.site/childit/index.html)
20:49:51	84744/84744	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:04:00%20GMT	http://websmirno.site/childit/img/gallery-4-x2.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gallery-4-x2.jpg	(from http://websmirno.site/childit/index.html)
20:49:57	31079/31079	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:04:01%20GMT	http://websmirno.site/childit/img/gallery-5.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gallery-5.jpg	(from http://websmirno.site/childit/index.html)
20:49:57	63336/63336	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:04:01%20GMT	http://websmirno.site/childit/img/gallery-5-x2.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gallery-5-x2.jpg	(from http://websmirno.site/childit/index.html)
20:49:58	59805/59805	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:04:02%20GMT	http://websmirno.site/childit/img/gallery-6-x2.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gallery-6-x2.jpg	(from http://websmirno.site/childit/index.html)
20:50:00	33058/33058	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:04:02%20GMT	http://websmirno.site/childit/img/gallery-6.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gallery-6.jpg	(from http://websmirno.site/childit/index.html)
20:50:05	631726/631726	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Jun%202022%2015:19:09%20GMT	https://www.youtube.com/watch?v=NkfKechADow	C:/Users/Lenovo/Desktop/project/new%20project/childit/www.youtube.com/watch6a31.html	(from http://websmirno.site/childit/index.html)
20:50:08	9674/9674	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:04:04%20GMT	http://websmirno.site/childit/img/gallery-7.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gallery-7.jpg	(from http://websmirno.site/childit/index.html)
20:50:08	47046/47046	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:04:04%20GMT	http://websmirno.site/childit/img/gallery-7-x2.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gallery-7-x2.jpg	(from http://websmirno.site/childit/index.html)
20:50:10	9531/9531	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:04:05%20GMT	http://websmirno.site/childit/img/gallery-8.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gallery-8.jpg	(from http://websmirno.site/childit/index.html)
20:50:10	35798/35798	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:04:04%20GMT	http://websmirno.site/childit/img/gallery-8-x2.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gallery-8-x2.jpg	(from http://websmirno.site/childit/index.html)
20:50:12	8691/8691	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:04:06%20GMT	http://websmirno.site/childit/img/gallery-9.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gallery-9.jpg	(from http://websmirno.site/childit/index.html)
20:50:12	23310/23310	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:04:06%20GMT	http://websmirno.site/childit/img/gallery-9-x2.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gallery-9-x2.jpg	(from http://websmirno.site/childit/index.html)
20:50:14	21841/21841	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:03:49%20GMT	http://websmirno.site/childit/img/gallery-10-x2.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gallery-10-x2.jpg	(from http://websmirno.site/childit/index.html)
20:50:14	7429/7429	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:03:49%20GMT	http://websmirno.site/childit/img/gallery-10.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gallery-10.jpg	(from http://websmirno.site/childit/index.html)
20:50:22	97472/97472	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:03:50%20GMT	http://websmirno.site/childit/img/gallery-11-x2.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gallery-11-x2.jpg	(from http://websmirno.site/childit/index.html)
20:50:23	58245/58245	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:03:51%20GMT	http://websmirno.site/childit/img/gallery-11.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gallery-11.jpg	(from http://websmirno.site/childit/index.html)
20:50:23	46185/46185	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:04:21%20GMT	http://websmirno.site/childit/img/news-2.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/news-2.jpg	(from http://websmirno.site/childit/index.html)
20:50:24	42282/42282	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:04:22%20GMT	http://websmirno.site/childit/img/news-3.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/news-3.jpg	(from http://websmirno.site/childit/index.html)
20:50:24	3361/3361	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Oct%202019%2006:03:46%20GMT	http://websmirno.site/childit/img/footer-bg.svg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/footer-bg.svg	(from http://websmirno.site/childit/index.html)
20:50:28	50292/50292	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:04:23%20GMT	http://websmirno.site/childit/img/news-4.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/news-4.jpg	(from http://websmirno.site/childit/index.html)
20:50:29	18505/18505	---M--	200	added ('OK')	application/javascript	date:Thu,%2021%20May%202012%2020:00:00%20GMT	http://websmirno.site/childit/js/common.js	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/js/common.js	(from http://websmirno.site/childit/index.html)
20:50:31	5157/5157	---M--	200	added ('OK')	application/javascript	date:Thu,%2021%20May%202012%2020:00:00%20GMT	http://websmirno.site/childit/form/forms.js	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/form/forms.js	(from http://websmirno.site/childit/index.html)
20:50:41	86659/86659	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	C:/Users/Lenovo/Desktop/project/new%20project/childit/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from http://websmirno.site/childit/index.html)
20:50:42	51/51	---MCZ	200	added ('OK')	text/plain	date:Sat,%2025%20Jun%202022%2015:20:32%20GMT	https://fonts.googleapis.com/robots.txt		(from http://websmirno.site/childit/index.html)
20:50:52	317743/317743	---M--	200	added ('OK')	application/javascript	date:Thu,%2021%20May%202012%2020:00:00%20GMT	http://websmirno.site/childit/vendor/vendor-bundle.js	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/vendor/vendor-bundle.js	(from http://websmirno.site/childit/index.html)
